genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Blues,The Shirelles,Mama Said,5sGeyWYDvUIF7QjERNCY7L,48,0.704,0.604,130893,0.591,0.0,G#,0.47,-6.874,Minor,0.0614,140.558,4/4,0.829
Blues,Steve Miller Band,Killing Floor,0pNiyNMpooKesSnzbM7Dnb,29,0.219,0.738,184400,0.832,0.364,D,0.26,-4.983,Major,0.0343,139.086,4/4,0.696
Reggaeton,Wisin,Callaíto,5pzi95eSXC8nbeX9ngzCQ4,35,0.124,0.787,175840,0.82,0.0,G#,0.339,-2.902,Major,0.0514,88.003,4/4,0.647
Pop,Gunna,Out The Hood,3OGGzDmPU14szwANX5tbbn,72,0.375,0.84,155873,0.427,2.55e-05,F,0.111,-9.777,Minor,0.376,147.931,4/4,0.445
R&B,Mocky,The Come Up,0QDr66VdiCEuyDF33MAtlG,49,0.203,0.561,219073,0.505,0.47,D,0.326,-13.184,Major,0.0513,105.185,4/4,0.652
Classical,Jacques Offenbach,"Les contes d'Hoffmann, Act III: Belle nuit, ô nuit d'amour (Live)",5sT6LvWu2ByU7kk5YDJY3q,0,0.936,0.231,213427,0.0413,0.0,D,0.192,-31.403,Major,0.0399,51.959,4/4,0.0514
Children's Music,Sugar Kane Music,Hip Hop Humpty,78yYGfb6lpaifUCz3i0jk2,0,0.658,0.811,217787,0.578,0.0,D,0.181,-8.257,Major,0.514,172.17,4/4,0.774
Rap,Yung Gravy,Boomin,0ObPdjFZ3cBr61rUusvkto,62,0.123,0.798,134431,0.624,9.08e-06,B,0.184,-8.789,Minor,0.161,100.027,4/4,0.199
Soundtrack,Trevor Jones,Munro's Office/Stockade,2HlAJ6wrxkyT2HKsIPU5Rc,34,0.661,0.221,151293,0.207,0.92,D,0.159,-15.21,Major,0.0383,50.842,4/4,0.0347
Comedy,Rodney Carrington,Travel Pillow - Live At The Majestic Theater/2007,01pXZwj5QhF6aQGPTKkdRi,22,0.864,0.493,73013,0.851,0.0,E,0.772,-9.463,Minor,0.937,132.999,3/4,0.0837
Ska,The Aquabats!,Aquabat March,7Flu90bAeZHTYZPuWBJjQw,19,0.0267,0.725,194160,0.745,0.0656,F#,0.106,-13.61,Minor,0.165,154.9,4/4,0.961
Reggaeton,Darkiel,Dime Si Tengo Tiempo,7hpCbhMqsOctk1PjUQ5sAG,47,0.186,0.864,232632,0.703,6.4e-05,A#,0.109,-5.605,Major,0.0925,92.003,4/4,0.606
Folk,The Bouncing Souls,Lean On Sheena,7IR7GUO0dUyUsBp7BfQ3vJ,53,0.16,0.491,200787,0.866,0.000211,B,0.13,-4.431,Major,0.0583,175.969,4/4,0.694
Comedy,Carlos Mencia,Take a Joke America,4WTaAm2nsikHMD3MJRNudx,18,0.84,0.52,706760,0.777,0.0,A#,0.759,-7.554,Minor,0.942,83.072,4/4,0.437
Indie,Imaginary Future,Brown Eyed Girl,7Gs9vEfo69lSwsTz4MRuBG,53,0.841,0.636,214805,0.165,0.0,B,0.163,-12.508,Major,0.0314,127.839,4/4,0.408
Blues,George Thorogood & The Destroyers,I'm A Steady Rollin' Man,7Ft62uJ5syxfdFTJthjXoE,28,0.0121,0.557,224373,0.883,0.00715,C,0.345,-7.719,Major,0.0622,125.493,4/4,0.671
Ska,Face To Face,Big Choice,4esI6Cud8d4AQOdlAMlTvy,23,4.25e-05,0.478,204200,0.97,1.08e-05,A,0.121,-5.811,Major,0.0499,103.634,4/4,0.272
Soundtrack,Hauschka,Tami Meets Richard,3xreP9QGhk6TY7AvybvGXu,29,0.982,0.249,86947,0.217,0.918,A#,0.324,-19.618,Major,0.0381,134.488,3/4,0.149
Reggaeton,Karol G,La Dama,78mpFgPXtqFccYQpSTNRX6,60,0.121,0.845,208400,0.777,0.000145,G#,0.0921,-5.854,Minor,0.188,100.01,4/4,0.732
Children's Music,Old Town School of Folk Music,"Row, Row, Row Your Boat",3xh0W2HEfUNiYarHxyFcXi,36,0.385,0.686,78667,0.575,0.0,F#,0.096,-6.523,Major,0.0337,107.367,4/4,0.635
